Parameter,LCDM bestfit,LCDM 68% CL,LCDM 95% CL,w0waCDM bestfit,w0waCDM 68% CL,w0waCDM 95% CL,Interacting DE bestfit,Interacting DE 68% CL,Interacting DE 95% CL
omegamh2*,0.14101337,"[0.13911902, 0.14275809]","[0.13896887, 0.1429438]",0.14247165,"[0.13938827, 0.14451644]","[0.13876797, 0.14492366]",0.21915284,"[0.15779045, 0.26880714]","[0.14334348, 0.27879422]"
theta_s_100,1.0419176,"[1.0411664, 1.0426312]","[1.0410197, 1.0427214]",1.0417826,"[1.041025, 1.0425398]","[1.0409199, 1.0426682]",1.0419003,"[1.041053, 1.0425715]","[1.0409395, 1.0427946]"
logA,3.0597752,"[3.0130889, 3.09513]","[3.0081695, 3.1044546]",3.0334408,"[2.9968533, 3.0862451]","[2.9882392, 3.0941903]",3.0535531,"[3.0082339, 3.0911102]","[2.9996455, 3.1002459]"
n_s,0.96816895,"[0.95529185, 0.97772328]","[0.95529185, 0.97914138]",0.96330967,"[0.95143544, 0.97628088]","[0.94997247, 0.97800873]",0.96730469,"[0.95211975, 0.97656405]","[0.95152894, 0.97801717]"
tau_reio,0.064474289,"[0.040245952, 0.083709315]","[0.036330131, 0.089025148]",0.049284797,"[0.030227506, 0.078625424]","[0.025755385, 0.084394808]",0.059678772,"[0.03594458, 0.08124106]","[0.028955484, 0.084055943]"
